ncsim: 10.20-s100: (c) Copyright 1995-2011 Cadence Design Systems, Inc.

-------------------------------------
Relinquished control to SimVision...
ncsim> 
ncsim> database -open waves -into waves.shm -default
Created default SHM database waves
ncsim> probe -create -shm rca_tb.a rca_tb.b rca_tb.cin rca_tb.cout rca_tb.i rca_tb.j rca_tb.k rca_tb.sum
Created probe 1
ncsim> run
Time=535, a=3, b=5, cin=1, cout=0, sum=9
Time=540, a=3, b=6, cin=0, cout=0, sum=9
Time=545, a=3, b=6, cin=1, cout=0, sum=10
Time=550, a=3, b=7, cin=0, cout=0, sum=10
Time=555, a=3, b=7, cin=1, cout=0, sum=11
Time=560, a=3, b=8, cin=0, cout=0, sum=11
Time=565, a=3, b=8, cin=1, cout=0, sum=12
Time=570, a=3, b=9, cin=0, cout=0, sum=12
Time=575, a=3, b=9, cin=1, cout=0, sum=13
Time=580, a=3, b=10, cin=0, cout=0, sum=13
Time=585, a=3, b=10, cin=1, cout=0, sum=14
Time=590, a=3, b=11, cin=0, cout=0, sum=14
Time=595, a=3, b=11, cin=1, cout=0, sum=15
Time=600, a=3, b=12, cin=0, cout=0, sum=15
Time=605, a=3, b=12, cin=1, cout=1, sum=0
Time=610, a=3, b=13, cin=0, cout=1, sum=0
Time=615, a=3, b=13, cin=1, cout=1, sum=1
Time=620, a=3, b=14, cin=0, cout=1, sum=1
Time=625, a=3, b=14, cin=1, cout=1, sum=2
Time=630, a=3, b=15, cin=0, cout=1, sum=2
Time=635, a=3, b=15, cin=1, cout=1, sum=3
Time=640, a=4, b=0, cin=0, cout=0, sum=4
Time=645, a=4, b=0, cin=1, cout=0, sum=5
Time=650, a=4, b=1, cin=0, cout=0, sum=5
Time=655, a=4, b=1, cin=1, cout=0, sum=6
Time=660, a=4, b=2, cin=0, cout=0, sum=6
Time=665, a=4, b=2, cin=1, cout=0, sum=7
Time=670, a=4, b=3, cin=0, cout=0, sum=7
Time=675, a=4, b=3, cin=1, cout=0, sum=8
Time=680, a=4, b=4, cin=0, cout=0, sum=8
Time=685, a=4, b=4, cin=1, cout=0, sum=9
Time=690, a=4, b=5, cin=0, cout=0, sum=9
Time=695, a=4, b=5, cin=1, cout=0, sum=10
Time=700, a=4, b=6, cin=0, cout=0, sum=10
Time=705, a=4, b=6, cin=1, cout=0, sum=11
Time=710, a=4, b=7, cin=0, cout=0, sum=11
Time=715, a=4, b=7, cin=1, cout=0, sum=12
Time=720, a=4, b=8, cin=0, cout=0, sum=12
Time=725, a=4, b=8, cin=1, cout=0, sum=13
Time=730, a=4, b=9, cin=0, cout=0, sum=13
Time=735, a=4, b=9, cin=1, cout=0, sum=14
Time=740, a=4, b=10, cin=0, cout=0, sum=14
Time=745, a=4, b=10, cin=1, cout=0, sum=15
Time=750, a=4, b=11, cin=0, cout=0, sum=15
Time=755, a=4, b=11, cin=1, cout=1, sum=0
Time=760, a=4, b=12, cin=0, cout=1, sum=0
Time=765, a=4, b=12, cin=1, cout=1, sum=1
Time=770, a=4, b=13, cin=0, cout=1, sum=1
Time=775, a=4, b=13, cin=1, cout=1, sum=2
Time=780, a=4, b=14, cin=0, cout=1, sum=2
Time=785, a=4, b=14, cin=1, cout=1, sum=3
Time=790, a=4, b=15, cin=0, cout=1, sum=3
Time=795, a=4, b=15, cin=1, cout=1, sum=4
Time=800, a=5, b=0, cin=0, cout=0, sum=5
Time=805, a=5, b=0, cin=1, cout=0, sum=6
Time=810, a=5, b=1, cin=0, cout=0, sum=6
Time=815, a=5, b=1, cin=1, cout=0, sum=7
Time=820, a=5, b=2, cin=0, cout=0, sum=7
Time=825, a=5, b=2, cin=1, cout=0, sum=8
Time=830, a=5, b=3, cin=0, cout=0, sum=8
Time=835, a=5, b=3, cin=1, cout=0, sum=9
Time=840, a=5, b=4, cin=0, cout=0, sum=9
Time=845, a=5, b=4, cin=1, cout=0, sum=10
Time=850, a=5, b=5, cin=0, cout=0, sum=10
Time=855, a=5, b=5, cin=1, cout=0, sum=11
Time=860, a=5, b=6, cin=0, cout=0, sum=11
Time=865, a=5, b=6, cin=1, cout=0, sum=12
Time=870, a=5, b=7, cin=0, cout=0, sum=12
Time=875, a=5, b=7, cin=1, cout=0, sum=13
Time=880, a=5, b=8, cin=0, cout=0, sum=13
Time=885, a=5, b=8, cin=1, cout=0, sum=14
Time=890, a=5, b=9, cin=0, cout=0, sum=14
Time=895, a=5, b=9, cin=1, cout=0, sum=15
Time=900, a=5, b=10, cin=0, cout=0, sum=15
Time=905, a=5, b=10, cin=1, cout=1, sum=0
Time=910, a=5, b=11, cin=0, cout=1, sum=0
Time=915, a=5, b=11, cin=1, cout=1, sum=1
Time=920, a=5, b=12, cin=0, cout=1, sum=1
Time=925, a=5, b=12, cin=1, cout=1, sum=2
Time=930, a=5, b=13, cin=0, cout=1, sum=2
Time=935, a=5, b=13, cin=1, cout=1, sum=3
Time=940, a=5, b=14, cin=0, cout=1, sum=3
Time=945, a=5, b=14, cin=1, cout=1, sum=4
Time=950, a=5, b=15, cin=0, cout=1, sum=4
Time=955, a=5, b=15, cin=1, cout=1, sum=5
Time=960, a=6, b=0, cin=0, cout=0, sum=6
Time=965, a=6, b=0, cin=1, cout=0, sum=7
Time=970, a=6, b=1, cin=0, cout=0, sum=7
Time=975, a=6, b=1, cin=1, cout=0, sum=8
Time=980, a=6, b=2, cin=0, cout=0, sum=8
Time=985, a=6, b=2, cin=1, cout=0, sum=9
Time=990, a=6, b=3, cin=0, cout=0, sum=9
Time=995, a=6, b=3, cin=1, cout=0, sum=10
Time=1000, a=6, b=4, cin=0, cout=0, sum=10
Time=1005, a=6, b=4, cin=1, cout=0, sum=11
Time=1010, a=6, b=5, cin=0, cout=0, sum=11
Time=1015, a=6, b=5, cin=1, cout=0, sum=12
Time=1020, a=6, b=6, cin=0, cout=0, sum=12
Time=1025, a=6, b=6, cin=1, cout=0, sum=13
Time=1030, a=6, b=7, cin=0, cout=0, sum=13
Time=1035, a=6, b=7, cin=1, cout=0, sum=14
Time=1040, a=6, b=8, cin=0, cout=0, sum=14
Time=1045, a=6, b=8, cin=1, cout=0, sum=15
Time=1050, a=6, b=9, cin=0, cout=0, sum=15
Time=1055, a=6, b=9, cin=1, cout=1, sum=0
Time=1060, a=6, b=10, cin=0, cout=1, sum=0
Time=1065, a=6, b=10, cin=1, cout=1, sum=1
Time=1070, a=6, b=11, cin=0, cout=1, sum=1
Time=1075, a=6, b=11, cin=1, cout=1, sum=2
Time=1080, a=6, b=12, cin=0, cout=1, sum=2
Time=1085, a=6, b=12, cin=1, cout=1, sum=3
Time=1090, a=6, b=13, cin=0, cout=1, sum=3
Time=1095, a=6, b=13, cin=1, cout=1, sum=4
Time=1100, a=6, b=14, cin=0, cout=1, sum=4
Time=1105, a=6, b=14, cin=1, cout=1, sum=5
